"filename", "language", "JSON", "Properties", "YAML", "PHP", "JavaScript", "XML", "CSS", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\sportify\resources\views\foro.blade.php", "PHP", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\xampp\htdocs\sportify\resources\views\grupo_conversacion.blade.php", "PHP", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\xampp\htdocs\sportify\resources\views\home.blade.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\xampp\htdocs\sportify\resources\views\inc\apuntarse_modal.blade.php", "PHP", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 13, 62
"c:\xampp\htdocs\sportify\resources\views\inc\confirmar_dejar_equipo.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\inc\confirmar_desapuntar_modal.blade.php", "PHP", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 12, 42
"c:\xampp\htdocs\sportify\resources\views\inc\crear_tematica.blade.php", "PHP", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 15, 48
"c:\xampp\htdocs\sportify\resources\views\inc\eliminar_admin.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\inc\eliminar_equipo.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\inc\eliminar_evento.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\inc\eliminar_tematica.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\inc\eliminar_usuario.blade.php", "PHP", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\sportify\resources\views\inc\invitar_amigo_modal.blade.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 13, 50
"c:\xampp\htdocs\sportify\resources\views\inc\invitar_equipo_modal.blade.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 13, 50
"c:\xampp\htdocs\sportify\resources\views\inc\navbar.blade.php", "PHP", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 34, 106
"c:\xampp\htdocs\sportify\resources\views\inc\puntuar_modal.blade.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 13, 50
"c:\xampp\htdocs\sportify\resources\views\inc\sidebar.blade.php", "PHP", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 9, 88
"c:\xampp\htdocs\sportify\resources\views\inc\ver_invitaciones_modal.blade.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 14, 46
"c:\xampp\htdocs\sportify\resources\views\inc\ver_solicitudes_modal.blade.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 14, 46
"c:\xampp\htdocs\sportify\resources\views\individual\amigos.blade.php", "PHP", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 17, 61
"c:\xampp\htdocs\sportify\resources\views\individual\calendario.blade.php", "PHP", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 2, 13, 57
"c:\xampp\htdocs\sportify\resources\views\individual\crear_equipo.blade.php", "PHP", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 17, 71
"c:\xampp\htdocs\sportify\resources\views\individual\crear_evento.blade.php", "PHP", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 45, 171
"c:\xampp\htdocs\sportify\resources\views\individual\foros.blade.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"c:\xampp\htdocs\sportify\resources\views\individual\home.blade.php", "PHP", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 17, 69
"c:\xampp\htdocs\sportify\resources\views\individual\mis_equipos.blade.php", "PHP", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 16, 55
"c:\xampp\htdocs\sportify\resources\views\individual\mis_eventos.blade.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\xampp\htdocs\sportify\resources\views\individual\profile.blade.php", "PHP", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 41, 174
"c:\xampp\htdocs\sportify\resources\views\info_equipamiento.blade.php", "PHP", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 21, 83
"c:\xampp\htdocs\sportify\resources\views\info_equipo.blade.php", "PHP", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 14, 68
"c:\xampp\htdocs\sportify\resources\views\info_evento.blade.php", "PHP", 0, 0, 0, 426, 0, 0, 0, 0, 0, 0, 0, 92, 518
